,TICKER,Patrimonio Liq,Ativos,Ativo Circulante,Divida Bruta,Disponbilidade,Divida Liq,Valor de Merc,Valor de Firma,Liquidez Media,Setor,Subsetor,Segmento
177,CRFB3,19.775.000.000,87.429.000.000,38.488.000.000,20.773.000.000,3.951.000.000,16.822.000.000,"<strong class=""value"">23.064.740.856</strong>",39.886.740.856,"<strong class=""value"">99.974.473,07</strong>",Consumo não Cíclico,Comércio e Distribuição,Alimentos
178,CRIV3,1.065.723.000,14.230.912.000,6.964.881.000,-,6.964.881.000,-,"<strong class=""value"">596.321.835</strong>",596.321.835,"<strong class=""value"">16.820,94</strong>",Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
179,CRIV4,1.065.723.000,14.230.912.000,6.964.881.000,-,6.964.881.000,-,"<strong class=""value"">596.321.835</strong>",596.321.835,"<strong class=""value"">18.314,65</strong>",Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
180,CRPG3,692.919.000,936.834.000,643.253.000,7.622.000,102.470.000,-94.848.000,"<strong class=""value"">1.096.116.774</strong>",1.001.268.774,"<strong class=""value"">55.868,67</strong>",Materiais Básicos,Químicos,Químicos Diversos
181,CRPG5,692.919.000,936.834.000,643.253.000,7.622.000,102.470.000,-94.848.000,"<strong class=""value"">1.096.116.774</strong>",1.001.268.774,"<strong class=""value"">171.658,93</strong>",Materiais Básicos,Químicos,Químicos Diversos
182,CRPG6,692.919.000,936.834.000,643.253.000,7.622.000,102.470.000,-94.848.000,"<strong class=""value"">1.096.116.774</strong>",1.001.268.774,"<strong class=""value"">69.561,56</strong>",Materiais Básicos,Químicos,Químicos Diversos
183,CSAB3,211.654.000,413.543.000,85.385.000,-,64.337.000,-,"<strong class=""value"">300.480.000</strong>",300.480.000,"<strong class=""value"">3.430,00</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
184,CSAB4,211.654.000,413.543.000,85.385.000,-,64.337.000,-,"<strong class=""value"">300.480.000</strong>",300.480.000,"<strong class=""value"">17.970,00</strong>",Financeiro e Outros,Previdência e Seguros,Seguradoras
185,CSAN3,18.481.493.000,137.854.202.000,28.130.629.000,62.256.663.000,15.081.373.000,47.175.290.000,"<strong class=""value"">32.234.020.030</strong>",79.409.310.030,"<strong class=""value"">126.062.487,41</strong>",Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
186,CSED3,1.439.564.000,4.726.869.000,1.048.357.000,874.551.000,714.800.000,159.751.000,"<strong class=""value"">1.709.704.569</strong>",1.869.455.569,"<strong class=""value"">2.745.721,96</strong>",Consumo Cíclico,Diversos,Serviços Educacionais
187,CSMG3,7.891.106.000,14.016.273.000,2.715.478.000,4.596.548.000,1.250.850.000,3.345.698.000,"<strong class=""value"">7.578.443.665</strong>",10.924.141.665,"<strong class=""value"">39.153.336,41</strong>",Utilidade Pública,Água e Saneamento,Água e Saneamento
188,CSNA3,17.762.528.000,88.409.654.000,31.712.482.000,43.574.221.000,16.447.219.000,27.127.002.000,"<strong class=""value"">22.570.118.978</strong>",49.697.120.978,"<strong class=""value"">148.731.169,67</strong>",Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
189,CSRN3,1.430.000.000,5.773.000.000,1.463.000.000,2.955.000.000,476.000.000,2.479.000.000,"<strong class=""value"">4.652.175.429</strong>",7.131.175.429,"<strong class=""value"">8.155,31</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
190,CSRN5,1.430.000.000,5.773.000.000,1.463.000.000,2.955.000.000,476.000.000,2.479.000.000,"<strong class=""value"">4.652.175.429</strong>",7.131.175.429,"<strong class=""value"">2.737,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
191,CSRN6,1.430.000.000,5.773.000.000,1.463.000.000,2.955.000.000,476.000.000,2.479.000.000,"<strong class=""value"">4.652.175.429</strong>",7.131.175.429,"<strong class=""value"">4.050,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
192,CSUD3,412.720.000,609.916.000,171.969.000,73.156.000,79.174.000,-6.018.000,"<strong class=""value"">762.850.000</strong>",756.832.000,"<strong class=""value"">1.367.749,74</strong>",Bens Industriais,Serviços,Serviços Diversos
193,CTCA3,862.600.000,983.509.000,409.022.000,37.115.000,375.917.000,-338.802.000,"<strong class=""value"">0</strong>",-338.802.000,"<strong class=""value"">-</strong>",Consumo não Cíclico,Agropecuária,Agricultura
194,CTKA3,-124.171.000,621.154.000,425.030.000,510.880.000,56.019.000,454.861.000,"<strong class=""value"">116.687.207</strong>",571.548.207,"<strong class=""value"">6.300,00</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
195,CTKA4,-124.171.000,621.154.000,425.030.000,510.880.000,56.019.000,454.861.000,"<strong class=""value"">116.687.207</strong>",571.548.207,"<strong class=""value"">29.742,41</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
196,CTNM3,240.294.000,3.298.833.000,967.339.000,1.305.489.000,209.657.000,1.095.832.000,"<strong class=""value"">143.718.186</strong>",1.239.550.186,"<strong class=""value"">18.168,60</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
197,CTNM4,240.294.000,3.298.833.000,967.339.000,1.305.489.000,209.657.000,1.095.832.000,"<strong class=""value"">143.718.186</strong>",1.239.550.186,"<strong class=""value"">519.644,26</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
198,CTSA3,230.512.000,632.088.000,192.847.000,209.949.000,33.751.000,176.198.000,"<strong class=""value"">122.707.284</strong>",298.905.284,"<strong class=""value"">467.171,15</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
199,CTSA4,230.512.000,632.088.000,192.847.000,209.949.000,33.751.000,176.198.000,"<strong class=""value"">122.707.284</strong>",298.905.284,"<strong class=""value"">388.783,19</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
200,CTSA8,230.512.000,632.088.000,192.847.000,209.949.000,33.751.000,176.198.000,"<strong class=""value"">122.707.284</strong>",298.905.284,"<strong class=""value"">-</strong>",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
201,CURY3,923.179.000,3.150.612.000,2.316.220.000,645.719.000,1.109.075.000,-463.356.000,"<strong class=""value"">4.760.482.685</strong>",4.297.126.685,"<strong class=""value"">31.915.101,93</strong>",Consumo Cíclico,Construção Civil,Incorporações
202,CVCB3,436.424.000,4.025.366.000,2.214.919.000,756.601.000,365.980.000,390.621.000,"<strong class=""value"">1.886.872.038</strong>",2.277.493.038,"<strong class=""value"">91.713.441,19</strong>",Consumo Cíclico,Viagens e Lazer,Viagens e Turismo
203,CXSE3,12.760.428.000,12.879.004.000,2.026.608.000,0,1.879.158.000,-1.879.158.000,"<strong class=""value"">35.580.000.000</strong>",33.700.842.000,"<strong class=""value"">41.750.819,22</strong>",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
204,CYRE3,7.782.356.000,17.023.249.000,8.804.034.000,4.926.016.000,2.652.029.000,2.273.987.000,"<strong class=""value"">8.986.218.122</strong>",11.260.205.122,"<strong class=""value"">134.768.508,81</strong>",Consumo Cíclico,Construção Civil,Incorporações
205,DASA3,7.944.718.000,27.093.749.000,8.143.700.000,11.336.950.000,2.373.366.000,8.963.584.000,"<strong class=""value"">6.985.982.552</strong>",15.949.566.552,"<strong class=""value"">3.990.284,81</strong>",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
206,DESK3,1.260.895.000,2.943.277.000,380.584.000,862.078.000,172.956.000,689.122.000,"<strong class=""value"">1.727.827.522</strong>",2.416.949.522,"<strong class=""value"">3.897.289,37</strong>",Comunicações,Telecomunicações,Telecomunicações
207,DEXP3,690.501.000,1.420.508.000,929.272.000,290.410.000,413.336.000,-122.926.000,"<strong class=""value"">1.080.719.423</strong>",957.793.423,"<strong class=""value"">782.575,37</strong>",Materiais Básicos,Químicos,Petroquímicos
